# timestamp tx ty tz qx qy qz qw
1734442346.495069 0.006798 0.000594 -0.000635 -0.000746 0.254039 0.015187 0.967074
1734442346.500586 0.007002 0.000582 -0.000567 -0.000648 0.254454 0.015822 0.966955
1734442346.504856 0.007162 0.000554 -0.000509 -0.000560 0.254742 0.016232 0.966873
1734442346.510682 0.007380 0.000490 -0.000424 -0.000413 0.255094 0.016698 0.966772
1734442346.514879 0.007537 0.000427 -0.000357 -0.000280 0.255298 0.016981 0.966713
1734442346.520449 0.007745 0.000323 -0.000263 -0.000075 0.255507 0.017303 0.966652
1734442346.525025 0.007914 0.000224 -0.000185 0.000110 0.255634 0.017528 0.966615
1734442346.530622 0.008120 0.000087 -0.000090 0.000345 0.255752 0.017755 0.966579
1734442346.534966 0.008279 -0.000030 -0.000018 0.000532 0.255822 0.017901 0.966558
1734442346.540717 0.008489 -0.000200 0.000073 0.000798 0.255900 0.018068 0.966534
1734442346.544932 0.008644 -0.000335 0.000137 0.001015 0.255960 0.018170 0.966516
1734442346.550716 0.008857 -0.000535 0.000221 0.001343 0.256039 0.018277 0.966493
1734442346.555093 0.009020 -0.000696 0.000284 0.001607 0.256098 0.018342 0.966476
1734442346.560720 0.009232 -0.000914 0.000369 0.001955 0.256161 0.018417 0.966457
1734442346.564766 0.009386 -0.001078 0.000431 0.002214 0.256201 0.018466 0.966445
1734442346.570717 0.009617 -0.001329 0.000526 0.002596 0.256281 0.018532 0.966421
1734442346.575296 0.009798 -0.001532 0.000601 0.002887 0.256368 0.018577 0.966396
1734442346.580453 0.010004 -0.001770 0.000686 0.003216 0.256496 0.018632 0.966360
1734442346.584991 0.010187 -0.001989 0.000765 0.003520 0.256629 0.018678 0.966323
1734442346.590740 0.010420 -0.002278 0.000870 0.003932 0.256811 0.018746 0.966272
1734442346.595107 0.010597 -0.002504 0.000954 0.004268 0.256951 0.018813 0.966232
1734442346.600541 0.010819 -0.002793 0.001063 0.004711 0.257125 0.018922 0.966181
1734442346.604952 0.006482 -0.002496 -0.001115 0.003913 0.252990 0.016707 0.967317
1734442346.610750 0.006507 -0.002782 -0.001101 0.004408 0.253166 0.016910 0.967265
1734442346.614829 0.006522 -0.002980 -0.001092 0.004749 0.253302 0.017092 0.967225
1734442346.620682 0.006542 -0.003257 -0.001080 0.005196 0.253523 0.017419 0.967159
1734442346.625013 0.006554 -0.003452 -0.001073 0.005493 0.253704 0.017715 0.967104
1734442346.630673 0.006567 -0.003691 -0.001068 0.005816 0.253952 0.018176 0.967029
1734442346.634943 0.006575 -0.003859 -0.001068 0.006016 0.254142 0.018582 0.966970
1734442346.640664 0.006583 -0.004066 -0.001073 0.006224 0.254396 0.019195 0.966890
1734442346.644907 0.006587 -0.004208 -0.001082 0.006332 0.254584 0.019697 0.966829
1734442346.650716 0.006593 -0.004386 -0.001101 0.006421 0.254838 0.020438 0.966746
1734442346.654963 0.006598 -0.004505 -0.001119 0.006447 0.255020 0.021004 0.966686
1734442346.660717 0.006606 -0.004653 -0.001148 0.006432 0.255269 0.021791 0.966603
1734442346.664976 0.006613 -0.004754 -0.001173 0.006397 0.255456 0.022382 0.966540
1734442346.670717 0.006627 -0.004883 -0.001211 0.006328 0.255708 0.023171 0.966456
1734442346.674769 0.006640 -0.004970 -0.001240 0.006275 0.255889 0.023716 0.966395
1734442346.680719 0.006664 -0.005094 -0.001283 0.006199 0.256138 0.024490 0.966310
1734442346.684994 0.006685 -0.005181 -0.001315 0.006146 0.256309 0.025024 0.966251
1734442346.690740 0.006718 -0.005294 -0.001358 0.006076 0.256523 0.025707 0.966177
1734442346.695162 0.006747 -0.005379 -0.001393 0.006018 0.256684 0.026202 0.966121
1734442346.700717 0.006789 -0.005482 -0.001438 0.005937 0.256881 0.026789 0.966053
1734442346.704975 0.008682 -0.002330 -0.001168 0.006297 0.256854 0.027411 0.966041
1734442346.710642 0.008794 -0.002316 -0.001204 0.006175 0.257039 0.027917 0.965978
1734442346.714810 0.008881 -0.002304 -0.001231 0.006069 0.257178 0.028250 0.965932
1734442346.720717 0.009010 -0.002284 -0.001267 0.005884 0.257384 0.028660 0.965866
1734442346.725263 0.009113 -0.002267 -0.001291 0.005722 0.257559 0.028926 0.965813
1734442346.730543 0.009237 -0.002249 -0.001316 0.005521 0.257784 0.029176 0.965746
1734442346.734994 0.009344 -0.002235 -0.001334 0.005342 0.257986 0.029334 0.965689
1734442346.740715 0.009484 -0.002223 -0.001350 0.005109 0.258252 0.029468 0.965615
1734442346.744976 0.009590 -0.002221 -0.001358 0.004941 0.258459 0.029521 0.965558
1734442346.750624 0.009732 -0.002229 -0.001361 0.004741 0.258747 0.029533 0.965482
1734442346.754885 0.009839 -0.002246 -0.001357 0.004617 0.258975 0.029497 0.965423
1734442346.760643 0.009985 -0.002283 -0.001340 0.004498 0.259275 0.029391 0.965346
1734442346.764782 0.010089 -0.002320 -0.001320 0.004446 0.259475 0.029277 0.965296
1734442346.770717 0.010238 -0.002387 -0.001280 0.004412 0.259751 0.029068 0.965228
1734442346.774806 0.010339 -0.002443 -0.001246 0.004417 0.259937 0.028904 0.965183
1734442346.780720 0.010482 -0.002534 -0.001188 0.004468 0.260190 0.028654 0.965122
1734442346.785064 0.010585 -0.002607 -0.001138 0.004520 0.260368 0.028472 0.965079
1734442346.790741 0.010715 -0.002706 -0.001066 0.004602 0.260586 0.028251 0.965026
1734442346.795090 0.010810 -0.002783 -0.001005 0.004672 0.260740 0.028105 0.964989
1734442346.800617 0.011689 -0.001671 -0.000790 0.005067 0.260851 0.028025 0.964959
1734442346.804918 0.011794 -0.001712 -0.000722 0.005130 0.260988 0.027953 0.964924
1734442346.810720 0.011928 -0.001762 -0.000629 0.005192 0.261166 0.027926 0.964876
1734442346.814971 0.012019 -0.001792 -0.000559 0.005218 0.261293 0.027963 0.964840
1734442346.820718 0.012131 -0.001825 -0.000463 0.005216 0.261445 0.028096 0.964795
1734442346.825158 0.012209 -0.001843 -0.000386 0.005180 0.261547 0.028257 0.964763
1734442346.830719 0.012294 -0.001858 -0.000289 0.005093 0.261659 0.028522 0.964725
1734442346.834991 0.012352 -0.001866 -0.000214 0.005006 0.261737 0.028772 0.964697
1734442346.840648 0.012420 -0.001874 -0.000113 0.004864 0.261833 0.029141 0.964661
1734442346.844931 0.012466 -0.001882 -0.000036 0.004752 0.261906 0.029437 0.964633
1734442346.850717 0.012519 -0.001898 0.000071 0.004614 0.261998 0.029851 0.964596
1734442346.854997 0.012553 -0.001915 0.000151 0.004524 0.262060 0.030158 0.964570
1734442346.860575 0.012589 -0.001943 0.000259 0.004436 0.262130 0.030563 0.964538
1734442346.864892 0.012613 -0.001971 0.000343 0.004393 0.262170 0.030881 0.964518
1734442346.870725 0.012640 -0.002015 0.000457 0.004363 0.262208 0.031301 0.964494
1734442346.875439 0.012657 -0.002057 0.000551 0.004364 0.262226 0.031641 0.964478
1734442346.880529 0.012672 -0.002108 0.000653 0.004393 0.262220 0.032009 0.964467
1734442346.884891 0.012681 -0.002155 0.000741 0.004435 0.262206 0.032325 0.964460
1734442346.890740 0.012689 -0.002223 0.000858 0.004522 0.262176 0.032756 0.964453
1734442346.895132 0.012690 -0.002277 0.000946 0.004595 0.262138 0.033087 0.964452
1734442346.900622 0.013660 -0.002756 0.000423 0.005341 0.261930 0.034323 0.964461
